egg_id,clutch_id,pair_id,species_scientific,species_common,lay_date,season,incubation_method,initial_weight_g,fertility_status,embryo_loss_stage,hatch_status,hatch_date,hatch_assistance,chick_id,chick_status_day7,data_quality_flag,source_record_type,verified_status
EGG-0001,CL-01-001,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-07,cool-dry,mixed,27.5,fertile,none,hatched,2024-02-06,none,CHK-01-0001,alive,ok,combined,single_checked
EGG-0002,CL-01-001,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-08,cool-dry,parental,24.1,fertile,none,hatched,2024-02-01,none,CHK-01-0002,alive,ok,combined,single_checked
EGG-0003,CL-01-001,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-12,cool-dry,parental,25.2,fertile,none,hatched,2024-02-07,none,CHK-01-0003,alive,ok,combined,single_checked
EGG-0004,CL-01-001,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-14,cool-dry,artificial,28.2,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0005,CL-01-002,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-18,cool-dry,mixed,26.0,fertile,none,hatched,2024-02-15,none,CHK-01-0005,alive,ok,spreadsheet,double_checked
EGG-0006,CL-01-002,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-22,cool-dry,parental,27.3,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0007,CL-01-002,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-23,cool-dry,parental,27.1,fertile,none,hatched,2024-02-18,none,CHK-01-0007,alive,ok,combined,double_checked
EGG-0008,CL-01-002,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-28,cool-dry,artificial,28.0,fertile,middle,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0009,CL-01-003,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-01-31,cool-dry,artificial,30.1,fertile,none,hatched,2024-02-27,none,CHK-01-0009,alive,ok,combined,single_checked
EGG-0010,CL-01-003,PAIR-01-01,Ara chloropterus,Green-winged Macaw,2024-02-01,cool-dry,artificial,27.4,fertile,none,hatched,2024-02-27,none,CHK-01-0010,died,ok,combined,single_checked
EGG-0011,CL-01-003,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-04,cool-dry,artificial,26.8,fertile,unknown,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0012,CL-01-003,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-08,cool-dry,parental,30.7,fertile,none,hatched,2024-03-09,none,CHK-01-0012,alive,ok,spreadsheet,single_checked
EGG-0013,CL-01-004,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-11,cool-dry,artificial,27.7,fertile,none,hatched,2024-03-11,partial,CHK-01-0013,alive,ok,incubator_log,double_checked
EGG-0014,CL-01-004,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-14,cool-dry,parental,27.9,fertile,none,hatched,2024-03-09,none,CHK-01-0014,alive,ok,spreadsheet,single_checked
EGG-0015,CL-01-004,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-17,cool-dry,parental,26.3,fertile,middle,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0016,CL-01-004,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-20,cool-dry,artificial,30.0,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0017,CL-01-005,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-22,cool-dry,artificial,25.4,fertile,unknown,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0018,CL-01-005,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-27,cool-dry,artificial,29.9,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0019,CL-01-005,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-02-28,cool-dry,parental,26.0,fertile,none,hatched,2024-03-24,none,CHK-01-0019,alive,ok,register,single_checked
EGG-0020,CL-01-005,PAIR-01-02,Ara chloropterus,Green-winged Macaw,2024-03-02,transition,artificial,25.5,fertile,unknown,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0021,CL-01-006,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-05,transition,mixed,30.4,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0022,CL-01-006,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-08,transition,parental,26.7,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0023,CL-01-006,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-12,transition,artificial,23.0,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0024,CL-01-006,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-16,transition,artificial,27.1,fertile,none,hatched,2024-04-13,none,CHK-01-0024,alive,ok,combined,single_checked
EGG-0025,CL-01-007,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-18,transition,artificial,28.1,fertile,none,hatched,2024-04-14,none,CHK-01-0025,alive,ok,combined,double_checked
EGG-0026,CL-01-007,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-22,transition,artificial,25.8,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
EGG-0027,CL-01-007,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-23,transition,artificial,28.0,fertile,none,hatched,2024-04-19,none,CHK-01-0027,alive,ok,combined,double_checked
EGG-0028,CL-01-007,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-26,transition,parental,28.1,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,combined,double_checked
EGG-0029,CL-01-008,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-03-30,transition,parental,28.0,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0030,CL-01-008,PAIR-01-03,Ara chloropterus,Green-winged Macaw,2024-04-01,transition,mixed,27.6,fertile,none,hatched,2024-04-26,full,CHK-01-0030,alive,ok,incubator_log,single_checked
EGG-0031,CL-01-008,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-04,transition,parental,23.1,fertile,none,hatched,2024-04-28,none,CHK-01-0031,died,ok,combined,single_checked
EGG-0032,CL-01-008,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-09,transition,parental,26.7,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0033,CL-01-009,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-11,transition,artificial,26.5,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0034,CL-01-009,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-15,transition,artificial,27.3,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
EGG-0035,CL-01-009,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-18,transition,artificial,28.5,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0036,CL-01-009,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-19,transition,artificial,26.4,fertile,none,hatched,2024-05-15,none,CHK-01-0036,alive,ok,spreadsheet,single_checked
EGG-0037,CL-01-010,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-23,transition,artificial,24.5,fertile,none,hatched,2024-05-23,full,CHK-01-0037,alive,ok,register,single_checked
EGG-0038,CL-01-010,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-27,transition,parental,25.7,fertile,none,hatched,2024-05-21,none,CHK-01-0038,died,ok,spreadsheet,single_checked
EGG-0039,CL-01-010,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-04-29,transition,artificial,29.2,fertile,none,hatched,2024-05-23,partial,CHK-01-0039,alive,ok,spreadsheet,single_checked
EGG-0040,CL-01-010,PAIR-01-04,Ara chloropterus,Green-winged Macaw,2024-05-02,hot-humid,parental,26.7,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0041,CL-02-001,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-04,hot-humid,parental,33.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
EGG-0042,CL-02-001,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-08,hot-humid,artificial,28.9,fertile,none,hatched,2024-06-06,none,CHK-02-0042,alive,ok,spreadsheet,double_checked
EGG-0043,CL-02-001,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-11,hot-humid,parental,34.4,fertile,middle,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0044,CL-02-001,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-14,hot-humid,artificial,34.2,fertile,none,hatched,2024-06-11,partial,CHK-02-0044,alive,ok,incubator_log,double_checked
EGG-0045,CL-02-002,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-16,hot-humid,artificial,31.8,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0046,CL-02-002,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-20,hot-humid,artificial,37.2,fertile,none,hatched,2024-06-19,none,CHK-02-0046,alive,ok,register,double_checked
EGG-0047,CL-02-002,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-22,hot-humid,parental,36.9,fertile,none,hatched,2024-06-18,partial,CHK-02-0047,alive,ok,register,double_checked
EGG-0048,CL-02-002,PAIR-02-01,Cacatua moluccensis,Moluccan Cockatoo,2024-05-27,hot-humid,artificial,36.5,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,double_checked
