metric,season,n,successes,rate,ci_low,ci_high
fertility_rate,cool-dry,59.0,46.0,0.7796610169491526,0.6586730063236291,0.8664580237207097
fertility_rate,hot-humid,51.0,36.0,0.7058823529411765,0.5700092442431359,0.8129127357986453
fertility_rate,transition,50.0,37.0,0.74,0.6044684273515116,0.8412847250644762
overall_hatch_rate,cool-dry,59.0,31.0,0.5254237288135594,0.40039795170017084,0.6473412328493147
overall_hatch_rate,hot-humid,51.0,23.0,0.45098039215686275,0.32267518549374014,0.586152914496312
overall_hatch_rate,transition,50.0,27.0,0.54,0.4039887139915748,0.6703034780777566
hatchability_of_fertile,cool-dry,46.0,31.0,0.6739130434782609,0.5296773241932242,0.7913405669074435
hatchability_of_fertile,hot-humid,36.0,23.0,0.6388888888888888,0.47575075485558044,0.7752440705348462
hatchability_of_fertile,transition,37.0,27.0,0.7297297297297297,0.5702183167528574,0.8460253848895091
day7_survival,cool-dry,31.0,30.0,0.967741935483871,0.838058948352751,0.9942827784745831
day7_survival,hot-humid,23.0,21.0,0.9130434782608695,0.7320401892425633,0.9758199955157797
day7_survival,transition,27.0,24.0,0.8888888888888888,0.7194219918172017,0.9614796517169015
