metric,species_scientific,n,successes,rate,ci_low,ci_high
fertility_rate,Ara chloropterus,40.0,31.0,0.775,0.6249690325768998,0.8768390867645925
fertility_rate,Cacatua moluccensis,40.0,29.0,0.725,0.5716504419378943,0.8389198375233267
fertility_rate,Eclectus roratus,40.0,33.0,0.825,0.6805000966821229,0.9125458625396409
fertility_rate,Probosciger aterrimus,40.0,26.0,0.65,0.49505880837257693,0.7786547112682372
overall_hatch_rate,Ara chloropterus,40.0,20.0,0.5,0.35199526933465386,0.6480047306653461
overall_hatch_rate,Cacatua moluccensis,40.0,20.0,0.5,0.35199526933465386,0.6480047306653461
overall_hatch_rate,Eclectus roratus,40.0,25.0,0.625,0.470324391373011,0.7577702083276673
overall_hatch_rate,Probosciger aterrimus,40.0,16.0,0.4,0.26348325684291923,0.554041063396538
hatchability_of_fertile,Ara chloropterus,31.0,20.0,0.6451612903225806,0.46947954064368874,0.7888334090613459
hatchability_of_fertile,Cacatua moluccensis,29.0,20.0,0.6896551724137931,0.5076986576690685,0.8272438325551679
hatchability_of_fertile,Eclectus roratus,33.0,25.0,0.7575757575757576,0.5897538017044264,0.8716828662282499
hatchability_of_fertile,Probosciger aterrimus,26.0,16.0,0.6153846153846154,0.4253485008511553,0.775714055642872
day7_survival,Ara chloropterus,20.0,17.0,0.85,0.639581135259243,0.9476312541037835
day7_survival,Cacatua moluccensis,20.0,18.0,0.9,0.6989663547715128,0.9721335187862318
day7_survival,Eclectus roratus,25.0,24.0,0.96,0.8045593626380625,0.9929037664980126
day7_survival,Probosciger aterrimus,16.0,16.0,1.0,0.8063923194655636,1.0
