column,n_missing,n_present,missing_rate
chick_id,79,81,0.49375
hatch_date,79,81,0.49375
egg_id,0,160,0.0
embryo_loss_stage,0,160,0.0
source_record_type,0,160,0.0
data_quality_flag,0,160,0.0
chick_status_day7,0,160,0.0
hatch_assistance,0,160,0.0
hatch_status,0,160,0.0
fertility_status,0,160,0.0
clutch_id,0,160,0.0
initial_weight_g,0,160,0.0
incubation_method,0,160,0.0
season,0,160,0.0
lay_date,0,160,0.0
species_common,0,160,0.0
species_scientific,0,160,0.0
pair_id,0,160,0.0
verified_status,0,160,0.0
